Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2015;0;0.018520066076354251;0.74999223571916285;0.98147993392364574;9.9384575275151938;1.0;-0.1209746179545057;0.1331822968054292;0.15791221645513528;0.32415291218176079
2030;1;0.042705852491424175;0.73465412362865723;1.1956543370165933;11.974083320408175;0.80805426128380886;-0.48507029798765533;0.1306280591583959;0.15732354780880936;0.32019574938302015
2030;2;0.0066393866726248514;0.73216129907075178;1.2413541050458374;12.348769161378367;0.65381650971682082;-0.15754323513128554;0.12758930445766531;0.15798996950247474;0.31782183797743568
2060;3;0.081039545212841513;0.70424031127351661;1.7719593384917613;17.525855633237729;0.49036536712927653;0.074904406058662332;0.12275202232890059;0.16189391392017291;0.31579348701451709
2060;4;0.031071538772236146;0.70146703234711216;1.8812206497000066;18.173501338086204;0.38145483309743916;-2.2605906370575246;0.12255348223729057;0.15424967190096936;0.3076382066048482
2060;5;0.019502018433274024;0.70229644313593098;1.9024227205623614;17.993742518789638;0.38715039143751978;0.0058912153903190045;0.1174996364235192;0.15294739689258319;0.30049371328506014
2060;6;0.0019636248546665226;0.69896011876656017;1.9441524280887315;18.769031882805542;0.30543114945208139;0.0017505284852781244;0.12288431147732584;0.15343997906726117;0.30741215650739506
2100;7;0.087962699940972694;0.66614285686549568;3.0611274353432316;28.953377611116789;0.24820393487923412;0.70392692075613716;0.11037179229756887;0.16008244288309303;0.30049628654614297
2100;8;0.083681687699927357;0.66204180490604136;3.1599901485062318;30.584977978203213;0.18234903207473963;0.5040424012070055;0.125553847734763;0.15148637555712721;0.30828710005007182
2100;9;0.03912494777166764;0.66393368080303483;3.305361382393202;29.876403388146105;0.18577555884209923;-1.8538881980779909;0.10765354287493641;0.14975114984736976;0.28572011865331703
2100;10;0.031389222744481811;0.6604583520597247;3.386184478550426;31.298570749475939;0.14401445617393352;1.7726195693962499;0.11856189959094977;0.14486382588614732;0.29290287047518909
2100;11;0.03325161813676826;0.66538407838756164;3.3143956329308191;29.316066389327165;0.19314162813673272;-0.17006865661692849;0.10235473833992652;0.14906092328588727;0.27892501762150862
2100;12;0.0053906786837042402;0.66142916602527657;3.4704803117478304;30.924496961586943;0.14132743266083245;-0.034392457499388129;0.10771114687199577;0.14531657436269074;0.28122636687505959
2100;13;0.0027954309784735186;0.66165889699897817;3.4760843644914066;30.832606745971358;0.14543500100729151;0.042783715268557287;0.10588736347153666;0.14588549448014021;0.27979596994121292
2100;14;0.0009487246352593181;0.65822351990970351;3.5174119255581577;32.275744214473377;0.11511314145367173;0.028872319704476013;0.11822710677579966;0.14285836376214547;0.29054376730877529
2200;15;0.0096011082842738845;0.5831483849942537;13.60371024989662;96.780283216562907;0.033867540038146786;3.0225502576493923;0.073451496168120023;0.12321418896878547;0.21898161520772708
2200;16;0.0096011951590403901;0.57751685319435253;14.642984509465787;105.56819847962356;0.021604766762092817;2.1589035356743835;0.086769103887095467;0.11271824481423701;0.22224049790501257
2200;17;0.01022130293583136;0.57773556901847511;14.589517593420068;105.20824246396003;0.022050572695371987;2.5633870118554114;0.086134749439517225;0.11341515180635076;0.22230039297196466
2200;18;0.010251961940160153;0.57500713852259855;15.194472360369918;109.78073602058701;0.017508628204228101;1.5405676222799869;0.095008567832500959;0.10493684237930487;0.2227739064843097
2200;19;0.027028927174691617;0.58310448925585068;13.541985301057469;96.830293712963481;0.027280330017762214;17.300292677784057;0.076406867631554146;0.12178772667095619;0.22021729699994028
2200;20;0.026762597759450956;0.57797178258208926;14.386097938223077;104.78839627582123;0.018398464396817603;14.144402690683044;0.087166022327445122;0.11482196923982109;0.22479475414535058
2200;21;0.035242557101827332;0.57867365739027732;14.227402057891965;103.649504194678;0.01944966376031379;8.9777668787908382;0.086709002556577111;0.11533605672234543;0.22483584639794768
2200;22;0.032040499497183558;0.57561497670785944;14.824161743652882;108.69092081359754;0.015239876412202265;7.176981555413775;0.096281677404858962;0.1070449790337538;0.22644154416297452
2200;23;0.039315598970399525;0.58568589976804208;13.165311407925536;93.089378245590012;0.029910292192207661;2.5181930755186599;0.071966362108914966;0.12392078680871192;0.21749612265211862
2200;24;0.040602525611812594;0.57972389544433478;14.03180957125414;101.9795319100002;0.019203335903714727;6.9189332074753196;0.083818381182135485;0.11776588428001518;0.22423709110729023
2200;25;0.011063537748955665;0.58227588863080515;14.398118024721214;98.223753656573322;0.02021163467883072;-2.9223045018033744;0.072605528228174301;0.1155765156847853;0.20900883034792286
2200;26;0.0018291679303989272;0.57734064996220413;15.178963941392928;105.96673524390259;0.014161590919126011;0.20449130992847842;0.081343458501519389;0.11142294133136361;0.21443428340467605
2200;27;0.0039069908390544725;0.58284806314659121;14.438521442437215;97.394038559209037;0.020955566257993882;0.2600423322761003;0.070322338650156815;0.11554123785718506;0.2064043843783552
2200;28;0.001810419969973596;0.57751756693001488;15.141613888863979;105.6758896173684;0.014463854923571324;0.25018020609977043;0.080951807483042912;0.11176089453134433;0.21436644153565557
2200;29;0.001768700801873426;0.57759667850884888;15.130874801247625;105.54739054990942;0.015073649703135265;0.27252313378660631;0.080553100346219611;0.11205637662220951;0.21424566379792109
2200;30;0.00037615986184853556;0.57444809472936309;15.554011303165872;110.79595671940592;0.012115806718429821;0.20721945662476315;0.090535944289597492;0.10640584861048973;0.21929108321920918
2300;31;0.0021166001158803042;0.52656536644943819;57.453073603378805;246.32798644668458;0.0051720556007535867;9.595434783371104;0.0;0.11211740176737386;0.12475043546315938
2300;32;0.0021164683590735233;0.51971530113892916;63.886686581327709;277.04277390596206;0.0027564178820730172;6.0777251500326201;0.0;0.11344659373683723;0.12633581453791842
2300;33;0.00211718936383437;0.51971602727853661;63.886598304780001;277.0393805433074;0.0028736781504587203;5.1823000690049525;0.0;0.11344531538047115;0.12633428913736094
2300;34;0.0020690382544885683;0.51635122533539213;67.604709242523484;293.70116700327105;0.0020838949772109205;2.3311864274162986;0.0;0.11366139935449118;0.12659214948643904
2300;35;0.0021070854928624734;0.51996003172095506;63.565111290964055;275.86491094502139;0.00295453157166838;7.6798712392502466;0.0;0.11353905061954934;0.12644614217692457
2300;36;0.0021079902614672052;0.51641273065994997;67.436009628302088;293.37429960517193;0.0021081263679238816;3.9691874094671675;0.0;0.11382474950485137;0.12678710456862755
2300;37;0.0020997504438322848;0.51641610366465018;67.442824182875356;293.35842079077992;0.0021238902819029023;3.4606576257488086;0.0;0.11380643577422868;0.12676524648476578
2300;38;8.3449450942810782e-05;0.51525339644569756;69.358287189277235;299.43767245694971;0.0018667228514999842;-3.652600685603602;0.0;0.11292544323331782;0.12571405528492421
2300;39;0.0021159059025936022;0.52507378441256125;56.050327163887708;252.32754708864763;0.0041787517304221564;202.84077817066901;0.0;0.1179346777157488;0.13169888482292821
2300;40;0.0021162667152715251;0.51919088437548699;62.411895544979807;279.3068898407314;0.0023404123619561834;155.49494750656763;0.0;0.11721262172967781;0.13083503508568206
2300;41;0.0021595837747258317;0.51921537573265208;62.404417551408152;279.19082533014392;0.0024772188301220295;156.06158403316996;0.0;0.11717667544089573;0.13079204000031416
2300;42;0.0021584592398090209;0.51585192084575937;66.735431922356298;296.0825598648301;0.0017519692880902818;102.98633947583085;0.0;0.11616565724010759;0.12958316508249615
2300;43;0.0016303359240930945;0.51987050914365174;62.133421693317061;276.09669709500139;0.0026100071932756322;-2.17197580876487;0.0;0.11635429797025959;0.12980866467247495
2300;44;0.0010677601886067089;0.516366776759557;66.588873351330832;293.49427496323227;0.0018238112777162392;-8.9033576866256681;0.0;0.11537556259869941;0.12863898393441245
2300;45;0.0020016171327629875;0.51605132747693094;66.49400813345828;295.05321373013351;0.0018325370766960958;-11.403865769433708;0.0;0.11618271195474812;0.12960355104828639
2300;46;0.00064371036935786344;0.51496566246452369;68.905584774338564;300.84533623524197;0.0015873249741889433;-15.739076433422383;0.0;0.11424914286162141;0.12729370497357478
2300;47;0.002132784130027095;0.52810717224418435;54.22031935608846;239.70980858325973;0.0047417329205616853;11.771427742874607;0.0;0.11574135244717354;0.12907605255306193
2300;48;0.0021335102108362811;0.52102320664893453;60.959993471636572;270.65449334367287;0.0024333962169711225;9.3389429361280918;0.0;0.11625277358009518;0.12968729991776709
2300;49;0.0019606064127814207;0.52113353657640504;60.996565247466236;270.15899102321782;0.0026504027327255079;-0.23217119054521618;0.0;0.11595995641792313;0.1293373025332584
2300;50;0.0019545334390851741;0.51677730575013148;65.725426634999948;291.35237474575752;0.0017434195203749605;-1.3194447134480924;0.0;0.11606274750422721;0.12946015891523724
2300;51;0.016047236694036873;0.5266488282861288;57.832883221740907;246.03422170973454;0.0032006159594686967;5.202696965241671;0.0;0.1112162419380919;0.12367636726362825
2300;52;0.016817229570253282;0.52032086193594873;63.10488466326872;274.13975448766644;0.001833831875855041;10.736011239758625;0.0;0.11365605841275819;0.12658577552683237
2300;53;8.3449450901885457e-05;0.52093785433584683;64.061582817719739;271.43438171433877;0.0019992883685853802;-2.0479990898536471;0.0;0.11075156406039814;0.12312277835232453
2300;54;1.8536254775938263e-07;0.51662930601864576;67.821107540087596;292.34990552981367;0.0013742896508728817;0.29580266672866173;0.0;0.11274493453377724;0.12549874802016256
2300;55;0.010132707846032155;0.52784757805901683;57.666988727129066;241.17411306193122;0.0033796795405459153;9.499776577018082;0.0;0.10926384778716204;0.12135154841434419
2300;56;0.005525320639652621;0.52103209720876176;63.492241390000203;270.9353403907856;0.0018578238347764708;3.9821622543577462;0.0;0.11156848155164083;0.12409611676111811
2300;57;0.0055535826829270071;0.52111989628777577;63.439251497978113;270.53015028389405;0.0020652787465827837;10.448608094568357;0.0;0.11149195190693401;0.12400491127673888
2300;58;6.3198195637066281e-07;0.51673579339444753;67.695645768643217;291.80816073087709;0.0013964053482245446;-0.2747345618899999;0.0;0.11274456239429489;0.12549830416544627
2300;59;0.007743349129244472;0.5212464799566513;63.188113397883399;269.92546636728588;0.0021669645845079346;28.503034280848283;0.0;0.11169201752509351;0.12424335247100292
2300;60;0.00060612812013311097;0.51675200441637159;67.6031583187238;291.71656822578962;0.0014499847761660484;-4.6544769061441116;0.0;0.11286776514679904;0.12564525524814094
2300;61;8.347549275770465e-07;0.51682751263810633;67.611661645101691;291.34543672322235;0.0015483775767096515;-0.79151747767127745;0.0;0.11270416611800489;0.12545012373417347
2300;62;2.9506944527353467e-06;0.51463286947250142;69.633906426777372;302.64220169021837;0.0012770921821411289;0.020540423265913432;0.0;0.1137102607925837;0.12665046247275147
