Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2015;0;3.8360917432026025e-06;0.013193992244590039;0.99999616390825685;1.2632452634937144;1.0;-0.00038242459051707201;0.13244892624658708;0.1332378678244025;0.82401903177033076
2030;1;2.2213834271963042e-05;0.0006473166231971922;1.2470083119676318;1.5722454766899714;0.03382836470494708;0.0023348505269638054;0.13353814419806881;0.13883717477266663;0.80050151711037798
2030;2;1.0603452804804299e-05;0.0006117418277792147;1.2485048597297232;1.5757437461243555;0.033225205144746792;0.001332326670611117;0.13315779432068697;0.13604602540946414;0.81288179884651501
2060;3;2.9654360807609339e-05;2.1412632175865708e-06;1.8855707723051482;2.3724466056826605;5.893470295707928e-05;0.025397802357751686;0.13309428297500542;0.14482592705199196;0.7760705685252266
2060;4;1.7787189201239973e-05;1.6170690534398431e-06;1.9151736774480044;2.4137521177113048;4.6654249083121137e-05;0.016136154356294341;0.13289691922475433;0.14058206416013069;0.79591122674821591
2060;5;1.7250211009646468e-05;1.620424265316594e-06;1.9149530520510827;2.4134448410684417;4.6734941024625441e-05;0.015897768739225882;0.13290025046639967;0.14061336206422628;0.79576671851564529
2060;6;1.0882096220227424e-05;1.3741871860663979e-06;1.9314728285381286;2.4370830290502137;4.1085125723664935e-05;0.010616503217364404;0.13259394565890256;0.1374427229064252;0.80969771024299009
2100;7;0.00013843159439390611;1.7432410893399489e-09;3.1468092831457022;3.9530909402461218;2.2226985739312978e-08;0.061277169068274517;0.13219673576817334;0.1491556985609184;0.75786668167898463
2100;8;3.6366470951129857e-05;8.4105433857818748e-10;3.2921613209507381;4.1467009078619572;1.1290684965491815e-08;0.047702741918387304;0.13260754042158251;0.14252456169431987;0.78871686866161062
2100;9;3.9642535592974557e-05;8.4308418270295385e-10;3.2916178261884093;4.1460053650416171;1.1318681197165927e-08;0.03855798462875093;0.13260482052268702;0.14253418006956772;0.78868555401522988
2100;10;1.6629707083662983e-05;5.2322824809788745e-10;3.3918819970682539;4.2786831571955393;7.2164879485697939e-09;0.027081054903810298;0.13206062333868684;0.138757055215807;0.80656238624459431
2100;11;3.4908896425901281e-05;8.4708774625754945e-10;3.2905430442060646;4.1446332974967035;1.1374263065371587e-08;0.044340290658384518;0.13259874303215111;0.14255165422361993;0.78863329197433396
2100;12;2.1480271599565189e-05;5.2483734237382437e-10;3.3910992274656309;4.277713434558434;7.241515162121152e-09;0.031165876229932721;0.13205211842815362;0.13875247327949849;0.80661244960469092
2100;13;2.3250273031181867e-05;5.2549378534830985e-10;3.3908043843351781;4.2773379042098645;7.2509660673683905e-09;0.017358604257955434;0.13205025207089377;0.13875683023203586;0.80660226787358213
2100;14;1.1433493516255621e-05;3.8545154178603642e-10;3.4564225619530156;4.3647226369612726;5.4391926773525518e-09;0.011287422267036717;0.13126167606968428;0.13612689095281441;0.81949134137995205
2200;15;0.00053952108593626489;9.1678733814343217e-17;10.545827705626825;13.180921922039483;1.7825222101173288e-16;0.32404137061750049;0.1217808086608297;0.1644817047030287;0.70238270856357288
2200;16;0.00036222288761429455;7.836726657012073e-18;12.389388293080197;15.578614974441095;1.5903659384979593e-17;0.21381385734891012;0.12817172295859702;0.1505809820344623;0.76874405124568324
2200;17;0.00028691569611504272;8.0894185380683986e-18;12.365016852377622;15.546168484256249;1.6380393896475771e-17;0.21260551531270266;0.1281143117837277;0.15087998474023889;0.7674090872273317
2200;18;0.00019599567725384764;1.9077978573253199e-18;13.614327710603995;17.161837491310994;3.8663576786147486e-18;0.14416980156113368;0.12936478164201826;0.14329887333821628;0.79819839196202391
2200;19;0.00029590654908348676;8.1249536031131197e-18;12.3611381205277;15.541295818109049;1.6457662149373547e-17;0.12498298101135674;0.12810445309088253;0.15088765049403285;0.76741201160388606
2200;20;0.00019534224016761929;1.9128391743572472e-18;13.611785308673726;17.158621675190282;3.8772041969462779e-18;0.084814350882744804;0.12935888549003968;0.14330598544874606;0.79819076108503362
2200;21;0.00020457056299023009;1.9304416777160483e-18;13.603484686826599;17.147879433407184;3.9128432640914329e-18;0.084716395892847629;0.12934399540590769;0.14336516775019664;0.79799618155460195
2200;22;0.0001048805561044348;7.2411716342164159e-19;14.532347768500435;18.345115074210796;1.4528082620397383e-18;0.052366878475140766;0.12946867449140026;0.13892619694874028;0.8153929370063302
2200;23;0.0003071430826871024;8.1956629431233689e-18;12.353793393150498;15.531912748777017;1.6605043680522073e-17;0.18123891829020522;0.12808622252400659;0.15092344296245741;0.76730176988763321
2200;24;0.00019936694527127255;1.9228550641769481e-18;13.606850852502513;17.152335662961583;3.8983485505638529e-18;0.12290317640850645;0.12934834441230109;0.14332629172154762;0.79814484606567149
2200;25;0.00020330328550245921;1.9328755399447723e-18;13.602152981540574;17.14625045608668;3.9185934500568873e-18;0.12277479360154331;0.12933995772581738;0.14336064989303235;0.79803088145305867
2200;26;0.00011014671953553608;7.2468131045938705e-19;14.531438201731927;18.344012100373401;1.4541728952150779e-18;0.075896677323683548;0.1294661305221885;0.13892066540649939;0.81542309520140854
2200;27;0.00020613888909431268;1.9368336208393853e-18;13.600157503563219;17.143738786189687;3.9272266264014982e-18;-0.0047756339878191056;0.12933522415916943;0.14336430142966081;0.79803349159341741
2200;28;6.1894829554045235e-05;7.2527031090305881e-19;14.530930923323345;18.343221548089758;1.4549345646696375e-18;-0.0031200431278577412;0.12946285115083833;0.13894998788618534;0.81532296061708687
2200;29;5.7686228579100109e-05;7.2790421137669912e-19;14.527399580883028;18.338660604270881;1.4602486167840731e-18;-0.0030782901559334164;0.12945243726369846;0.13897774323308035;0.81525418804025473
2200;30;1.3809055677999481e-05;3.5516615277329225e-19;15.250412071198003;19.269456128295104;7.0472772442518735e-19;-0.0011518565326440466;0.12908713569156041;0.13618814947594754;0.82682814407919825
2300;31;0.012291561266336825;1.1919135219127525e-22;27.711879029717679;34.665573546285124;5.4898883722983642e-23;1.5070594848651808;0.0;0.28946674766540853;0.71134995382036337
2300;32;0.0073507690241878748;3.4386669341035594e-25;41.580018652471708;52.270169189112551;1.2481964599591848e-25;1.170195674816199;0.0;0.28035659831316628;0.76583544845426099
2300;33;0.0056561431251542999;3.4707809749878721e-25;41.578919912310297;52.255731302629329;1.2486913144788214e-25;1.1659548596227864;0.0;0.28093710804672645;0.76297089313408628
2300;34;0.0052793687836660743;1.5401840312037929e-26;51.563406881891488;64.984136897832101;4.9479931263539711e-27;0.78925709690125245;0.0;0.27371512108163953;0.79539588224762736
2300;35;0.0091274480712123796;3.9916214376540152e-25;41.144465337853433;51.720195762684554;1.4617792634330223e-25;1.1620746850184105;0.0;0.28046724692801916;0.76529368171842316
2300;36;0.0060208834336553203;1.6414083035015491e-26;51.331370851516006;64.690837431340483;5.2943202853797287e-27;0.78544400651523461;0.0;0.27375435512263996;0.79523545102997617
2300;37;0.0072576104179090948;1.6846190259918884e-26;51.229785680978274;64.565787893442206;5.453999144991484e-27;0.78759421183249856;0.0;0.27361978702626655;0.79578512195491979
2300;38;0.0044304561890374863;2.2700714153751963e-27;58.883443034436759;74.317445259919694;6.7554644465496311e-28;0.48042596541648663;0.0;0.26921490088825095;0.81294415123834685
2300;39;0.0089011445179603826;4.0018355546016408e-25;41.138745027786683;51.712124861736747;1.4648311220280448e-25;0.59101121924669542;0.0;0.28050705185199032;0.76509830487759178
2300;40;0.0067893015706199291;1.6607536391386927e-26;51.281581748396199;64.631272135768668;5.3719500619976611e-27;0.40575991679290269;0.0;0.27361051359625266;0.79582294007444321
2300;41;0.0060284023429814952;1.6667182548017661e-26;51.279558707960732;64.623557832681698;5.3751298914638492e-27;0.40330406837085775;0.0;0.27384371168887767;0.79486953433447538
2300;42;0.0028675440614375578;2.2318174082044417e-27;58.967662106941617;74.418030915574533;6.6121776099646554e-28;0.24483622754729595;0.0;0.26946502604721084;0.81200938272043344
2300;43;0.0044595550813950413;1.6719681130959047e-26;51.284725505088119;64.622292982467059;5.367012671216199e-27;0.39770740674853755;0.0;0.27419199691453894;0.79343618636823232
2300;44;0.0019506951461590195;2.232108998004343e-27;58.976313679607493;74.424805334675469;6.5976428693137431e-28;0.24003552848981258;0.0;0.26964568514936438;0.81133149188842513
2300;45;0.001670463384617891;2.2447855385670429e-27;58.958469163049607;74.39957837478299;6.6276592981623452e-28;0.23838411387799852;0.0;0.26976337720760485;0.81088862821203056
2300;46;0.00037344145740934344;5.6856009374940659e-28;64.853884197298285;81.919513260359579;1.586767445560595e-28;0.10498526366120586;0.0;0.26646758273525922;0.82293900300587164
2300;47;0.0091384875117823203;4.0748513047418286e-25;41.084049725121446;51.644158138112651;1.49435730642897e-25;0.95847958020414126;0.0;0.2804714539212721;0.76527304435481702
2300;48;0.0078840833227546113;1.69641110830561e-26;51.195102681552328;64.526329785287416;5.5096863284829315e-27;0.65391784713426659;0.0;0.2734263425151906;0.7965723912926137
