Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.051002762775834709;0.49247250063760084;0.00047611410280978816;0.0010897244575373065;0.051002762775834709;2.4343615165184533e-05;0.43752804015256108;6.0480525347529222e-08;0.015122048889975126;3.3461495823920506e-05
2025;0.0026014519464280742;0.054081613570179592;0.0010893948373613682;0.00023916076787147724;0.0026014519464280742;2.8472819222149093e-06;0.0510625223824085;1.3273602132482414e-08;0.0016606507031319833;7.343761975814045e-06
2030;0.00013270197940562199;0.0044543611419114405;0.0018629743727682779;2.9538057241933264e-05;0.00013270197940562199;2.4885977119668119e-07;0.0044543611419114405;1.639384348383641e-09;0.00013677731624482767;9.0700687885940897e-07
2035;7.5740947013902816e-06;0.00049685459505387566;0.0036408051463487912;1.0520562041275671e-05;7.5740947013902816e-06;2.8159702057847394e-08;0.00049685459505387566;5.8389909009254652e-10;1.5256607156513055e-05;3.2304840033141195e-07
2040;4.337376249230031e-07;4.4298976461259237e-05;0.0056684647663063359;1.7757221601355233e-06;4.337376249230031e-07;2.5571803574534678e-09;4.4298976461259237e-05;9.8553912756031882e-11;1.3602613079018945e-06;5.4526003555154439e-08
2045;2.492326638132922e-08;3.5803609140937203e-06;0.0079729805529449305;2.1651564131516648e-07;2.492326638132922e-08;2.1072949878523311e-10;3.5803609140937203e-06;1.2016780611029068e-11;1.0993993109581444e-07;6.6484120619389559e-09
2050;1.4371314167103396e-09;2.7406106879132271e-07;0.010583997297020087;2.2357915878536181e-08;1.4371314167103396e-09;1.6451476143179553e-11;2.7406106879132271e-07;1.2408811132546695e-12;8.4154239591764753e-09;6.8653071299502554e-10
2055;8.3162338197568696e-11;2.0279372343951147e-08;0.013534015653132725;2.0899273084730943e-09;8.3162338197568696e-11;1.2415129212501909e-12;2.0279372343951147e-08;1.1599253433317865e-13;6.227061605393209e-10;6.417410696903237e-11
2060;4.8328604907799116e-12;1.4679816900772682e-09;0.016858356625698567;1.8269942697921862e-10;4.8328604907799116e-12;9.1614041008531649e-14;1.4679816900772682e-09;1.0139955332715299e-14;4.5076407024140447e-11;5.6100384556969562e-12
2065;3.0476485640488657e-13;1.0128826318324255e-10;0.018445613121564897;1.4681912335042234e-11;3.0476485640488657e-13;6.4364317892267877e-15;1.0128826318324255e-10;8.148571549329702e-16;3.1101961345143081e-12;4.5082841344722586e-13
2070;1.9492643841409907e-14;7.0848053667358038e-12;0.020172328543710538;1.1931234588528739e-12;1.9492643841409907e-14;4.5943126328695721e-16;7.0848053667358038e-12;6.6219247532500731e-17;2.1754874230140306e-13;3.6636505090517574e-14
2075;1.2651708301802141e-15;5.026477542933806e-13;0.022050245696825232;9.7596137222136683e-14;1.2651708301802141e-15;3.3313986526048946e-17;5.026477542933806e-13;5.416658872118874e-18;1.5434494119000875e-14;2.9968243031541748e-15
2080;8.3350158513329227e-17;3.6181090932527751e-14;0.024092068213577011;8.0107990608981435e-15;8.3350158513329227e-17;2.4526830653528919e-18;3.6181090932527751e-14;4.4460536083730765e-19;1.1109904111720998e-15;2.4598265870648571e-16
2085;5.5733234341375442e-18;2.6421752382170418e-15;0.02631153757498006;6.5850431275461833e-16;5.5733234341375442e-18;1.8319019259029403e-19;2.6421752382170418e-15;3.654748363546713e-20;8.1131643038890851e-17;2.0220285191238776e-17
