Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89808277773874967;0.0021815966892243972;-0.11373614801259979;7.7485316504286349e-08;0.89808277773874967;-0.10214446753732476;-0.96530861393279299;8.1991364392353105e-09;0.048643811828924098;1.7277167563355415e-06
2025;0.80655268393279145;0.0042202059860516035;-0.12224937364068156;2.9973933645696515e-07;0.80655268393279145;-0.09860052870196942;-0.93181711125157685;3.1717024936983584e-08;0.094099384583214152;6.6833910925684613e-06
2030;0.73005388246295655;-1.123599714263771;-0.16285661634922732;-0.014616684205332773;0.73005388246295655;-0.12044077470996657;-1.123599714263771;-0.0015466696594329532;-25.053289336954013;-0.32591323573184999
2035;0.65612415619215558;-1.0822872669785224;-0.1745441203555631;-0.014381180849114326;0.65612415619215558;-0.11604436347428222;-1.0822872669785224;-0.0015217497876863356;-24.13213148873119;-0.32066213638724883
2040;0.58968116741653287;-1.0424777143041422;-0.18706744889944171;-0.014142559323384367;0.58968116741653287;-0.11180665161837462;-1.0424777143041422;-0.0014964999657192252;-23.244484198628886;-0.31534151014442779
2045;0.52996673074493805;-1.0041168528392306;-0.20048613853002606;-0.013901376707650589;0.52996673074493805;-0.10772196253753336;-1.0041168528392306;-0.0014709791410986855;-22.389138874760615;-0.30996377839680006
2050;0.4762994442077208;-0.96715242018540215;-0.21486394745602877;-0.013658153443748851;0.4762994442077208;-0.10378482113814688;-0.96715242018540215;-0.0014452423845634499;-21.564930204451795;-0.30454054561500699
2055;0.42806691303929606;-0.93153402586625456;-0.2302691533386414;-0.013413375257594937;0.42806691303929606;-0.099989946731219304;-0.93153402586625456;-0.0014193410933747708;-20.770734613916215;-0.29908264219687819
2060;0.38979622632604166;0.057930103859825194;0.015725895263357659;0.0070992175070777467;0.38979622632604166;0.006881100865202279;0.057930103859825194;0.00075120623594689042;1.2916874531878773;0.15829369482113881
2065;0.35060148409786324;0.063950427832350304;0.019300937581415156;0.0073150302466080735;0.35060148409786324;0.0075409798985806662;0.063950427832350304;0.00077404253805628959;1.4259246877395977;0.16310574571205305
