Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2015;0;0.042470558978756658;0.74905022631507445;0.95752944102124338;10.039908216666275;1.0;-0.21648259535184122;0.14392007927546582;0.15871753026866206;0.3369552290528891
2030;1;0.065111088976212386;0.73291580254680166;1.1672426599961792;12.214347200911693;0.78064225257927311;0.16324261733555723;0.14220939939702615;0.16028917260530082;0.33620734994386586
2030;2;0.038719396846906513;0.73150721180005573;1.200991389484696;12.432130489654723;0.68596390962962628;-0.039718373596975276;0.14224818875869977;0.15636851859691173;0.33218587026860108
2060;3;0.13567308471538994;0.70119157798319121;1.6608955801773735;18.163096472455845;0.48065460136786003;-0.020088446715460506;0.14730731912692457;0.17001121918319187;0.35307921226936245
2060;4;0.050894859965467797;0.69961147362617859;1.8386515020612049;18.584197442646506;0.38145717220326852;-0.071872197081623845;0.1366193307769116;0.15449916414689552;0.32349578502912196
2060;5;0.054127029941233883;0.70006836042550835;1.8304826880409442;18.476165559312516;0.38681890294060972;0.12397839386228959;0.13580074241865536;0.15499994201860715;0.32300109330947246
2060;6;0.040234641709271421;0.69864633187904601;1.8661271805361526;18.817986109778271;0.34472856818585612;0.3232961951798341;0.13957752270179238;0.15056393130169532;0.3226588958072979
2100;7;0.018531405414688285;0.66066897644766454;3.3695215080660481;31.20684125375891;0.19183068070038409;0.025003096582398854;0.11934049328412501;0.14451066411158917;0.29355381256126428
2100;8;0.018526633657118798;0.65858673631729814;3.4262877163101755;32.094233613310067;0.1635349063445348;-0.028134866141593662;0.12671286283012859;0.14028938369086724;0.29727348273504806
2100;9;0.034315061508550841;0.66042956922190033;3.3118551427894567;31.288418571778909;0.17211702091642633;0.086958796236036306;0.12464296047075545;0.14501849942178985;0.30010787596079908
2100;10;0.034313231428179221;0.65866669234184194;3.3646407931866671;32.041814877261572;0.14987635168029328;0.066772273360937717;0.13016509175500737;0.14172923377172206;0.30278101363297361
2100;11;0.037523809009911951;0.66091086998384441;3.2837453876249096;31.082003326104843;0.17606365066800631;0.14484185211194323;0.12412808235330025;0.14613556352437815;0.30074371229150887
2100;12;0.03751562988479902;0.6590275121874789;3.3432356714715832;31.882799893050308;0.15158592565329523;0.097244377018279593;0.13038645215270042;0.14194884429611834;0.30325473783632073
2100;13;0.041529995904505353;0.65926299740985783;3.3256069060125206;31.778357213259731;0.1539623241410969;-0.077296318423902832;0.12964368035135918;0.14333451304531389;0.30393131404723339
2100;14;0.039870234809482152;0.65819607391576807;3.3672262999101852;32.242788897710255;0.1409786292165133;-0.085342144158806477;0.13263438364889002;0.14087795006319082;0.30463176557660893
2200;15;0.0012724328755270909;0.57898123658037337;14.616134285849595;103.25590810910879;0.02490373303787443;-0.11078161431612443;0.084642635525556606;0.11055214367692145;0.2172811021035764
2200;16;0.0012720934146256513;0.57613006075593698;15.195739080807744;107.92857937601163;0.019738983211281907;-0.067659195788571935;0.091437959840904387;0.10491451311677029;0.21858146913956214
2200;17;0.0012733894030724268;0.57624146338222137;15.195483181363333;107.74664914367133;0.019881642611121349;0.5565735537183869;0.092334229414137992;0.10365443579574658;0.21817619796445789
2200;18;0.0012738785724148883;0.57470915022838942;15.501492973818246;110.34622899044597;0.017583612338365438;0.28694619217155548;0.095040125819169;0.10175867754711516;0.21912421841784502
2200;19;0.0012667581720600288;0.5774590316969358;14.710214136766817;105.67535587600656;0.021372635412793321;0.15626733810734095;0.090427812653036704;0.10828265804918658;0.22136162341712484
2200;20;0.0012669885182031429;0.57531779587605181;15.230889290958416;109.27280859839217;0.017707486852727636;0.092031840662798459;0.093595754183922242;0.10484275576767069;0.22104024511875259
2200;21;0.001266432096681306;0.57532444230338764;15.230860123332755;109.26179132566959;0.017670810213201178;0.12403726853111863;0.093516839640032406;0.10490014398825642;0.22101595324598086
2200;22;0.0012663306825806257;0.5740999416112833;15.518254280911867;111.37552514544328;0.015911901854320242;0.056980528258065988;0.096357882964429126;0.10216251906637544;0.2211307781021786
2200;23;0.0012621161309870135;0.57778357512587775;14.579282162946892;105.1297450839491;0.021990137464636288;0.19902775338547229;0.090343863813999392;0.109151300223307;0.22228938047212457
2200;24;0.001262515204812715;0.57549811976721121;15.14940503753971;108.95650236039558;0.017937302042557505;0.1220012942303228;0.093517873414899616;0.10543299196870834;0.22164659076761506
2200;25;0.0012627883731109067;0.57549838353460936;15.149196835746954;108.95602062366908;0.01784983880305583;0.22379034446693424;0.093517278950304747;0.1054353466045504;0.22164888653322029
2200;26;0.0012626557648180029;0.57435170245299993;15.476721690343407;110.9412393680644;0.016029850139029411;0.11280567772988803;0.09454177049531208;0.10368876751215603;0.22082951912759027
2200;27;0.0012611704135673486;0.5756534939020681;15.081309691043955;108.68515981387928;0.018246321902188792;-0.46356596754524304;0.093505465909192426;0.10586286642551611;0.22214254224320679
2200;28;0.0012613771525344264;0.57424989550291272;15.440507347170012;111.10489788585079;0.016098502825739776;-0.25536354663344696;0.096278851150326347;0.10277885278895584;0.22176801142628846
2200;29;0.0013968298442647827;0.57450935603056608;15.414570167097883;110.66224742742881;0.016223084968762621;-0.19520791819935823;0.09746833898681434;0.10107514017152069;0.22119933812023948
2200;30;0.0014143683923798984;0.57364195868435286;15.619428784554136;112.17599907401699;0.015062418076678729;-0.078154508952898993;0.097982363578679815;0.10067909814113628;0.22129371556274635
2300;31;0.00010175051841482778;0.52181552791647179;62.622073616287402;267.29415881836593;0.003388471780584287;-0.83631370389056769;0.0;0.11159966103154396;0.12413327673904558
