Node;Mitigation;Prices;Average Mitigation;Average Emission;GHG Level
0;0.59131572769291374;88.450824286720021;0.0;0.0;400.0
1;0.74236016021756623;131.71119339449189;0.59131572769291374;200.95907503029832;397.44080964309813
2;0.52169215226345345;56.227688838356812;0.59131572769291374;373.08012123450629;397.44080964309813
3;0.98705912080071312;193.59985234104667;0.69722044475042877;7.893936311564997;405.13186895747657
4;0.81178919799181803;120.88487388710469;0.69722044475042877;114.80858922499098;405.13186895747657
5;0.65684555525265387;72.514392903025126;0.54249919779409672;209.32421129588113;435.83664554769877
6;0.44785476866777446;28.779246980844089;0.54249919779409672;336.80859111265755;435.83664554769877
7;1.2274648674795678;148.12820791160883;0.85288406856743137;-215.23863085254109;394.43778602686768
8;1.2287138979392001;148.14031568476605;0.85288406856743137;-216.42052592496805;394.43778602686768
9;1.060576946148144;142.08459683178305;0.75875187164204394;-57.320935292681277;425.95900430902958
10;0.47690084818736578;22.404751562393471;0.75875187164204394;494.9825724027051;425.95900430902958
11;0.8632657616434255;93.80151613484098;0.6039111826086605;129.38477304490863;476.02837059377271
12;0.51461161484386231;26.92113562980796;0.6039111826086605;459.29875945399527;476.02837059377271
13;0.50178631899494242;25.330574710790412;0.49166852532256361;471.43469565103572;518.46572563456618
14;0.39409044941378474;14.140542476910101;0.49166852532256361;573.34191224220626;518.46572563456618
15;0.9996991723548706;48.603334310998555;1.0741852518411137;0.15304606445958119;304.38706313800816
16;0.99978719898203483;48.6108756443735;1.0741852518411137;0.10826251788978004;304.38706313800816
17;0.99633075532142301;48.306890331877845;1.0749231751929358;1.8667282302260431;303.8729988866246
18;1.0254864162687083;50.428838388408437;1.0749231751929358;-12.966214276705346;303.8729988866246
19;1.3173490335658971;54.413926447025695;0.93706919683290302;-161.45132082665015;394.72441057493762
20;1.1983853835812548;54.093891040225138;0.93706919683290302;-100.92856389696338;394.72441057493762
21;0.69141410407137283;20.095599144881209;0.59223515434482521;156.9930745536891;632.47257273906837
22;0.42155168242596225;6.0894440541991424;0.59223515434482521;294.28558156579174;632.47257273906837
23;1.5059410942626126;54.507205189005141;0.75713706977247164;-257.39753170610419;510.1006786012523
24;1.0956382938596716;52.952198030707542;0.75713706977247164;-48.65598200110793;510.1006786012523
25;0.72955120966976061;22.875268544350902;0.55115327278100368;137.5908220805093;655.83702569466868
26;0.49255216092465143;8.865430456803951;0.55115327278100368;258.1640881295836;655.83702569466868
27;0.71429932114302719;21.73830171640396;0.49764608668801319;145.35022036848494;689.296093718463
28;0.56216441235675174;12.196433754122957;0.49764608668801319;222.74885521350259;689.296093718463
29;0.55589853449661153;11.870986503172642;0.43401969835947324;225.93662057484889;736.07879907506242
30;0.32471747340973744;3.2439619753859525;0.43401969835947324;343.5499854027961;736.07879907506242
31;1.0001289589350884;17.803834080091885;1.0465222950467883;0.0;315.42489799566818
32;1.0000688801545261;17.801960452849869;1.0465222950467883;-0.0175213893075786;315.42489799566818
33;1.0001957819053378;17.805915987455997;1.0465549867497321;-0.049802022170291484;315.39333348654799
34;1.0004474225696391;17.813736705359702;1.0465549867497321;-0.11381311615195734;315.39333348654799
35;0.7394683490792886;8.6503768898860649;1.0457351882527901;66.272738702955962;316.17476247528845
36;0.93497598217379574;15.236090954539069;1.0457351882527901;16.54048453454071;316.17476247528845
37;1.2134854717889851;19.826150901930447;1.0565631415382588;-54.305366886323107;305.44779423640983
38;1.0663499434496972;19.106038984610915;1.0565631415382588;-16.877766865016739;305.44779423640983
39;1.2312282000501937;19.850980447053434;1.0782991389355845;-58.818673387768037;269.38327091105657
40;1.1456422430629245;19.655843970819756;1.0782991389355845;-37.04774557913143;269.38327091105657
41;1.3641621180963515;19.933087393449238;1.0341179129626403;-92.633738790759409;318.65928401301073
42;1.2474906968987698;19.86935010775489;1.0341179129626403;-62.955446023624567;318.65928401301073
43;1.5614924067192404;19.953746332818817;0.6290686542432693;-142.82963095920678;722.60978449553124
44;0.96646447176330519;16.50386339733496;0.6290686542432693;8.5305999952092435;722.60978449553124
45;0.97451806869926605;16.83767326943876;0.52884600107264967;6.4819662746241997;838.11917047911606
46;0.64965141263015747;6.3289233124263724;0.52884600107264967;89.119921912203708;838.11917047911606
47;1.449699518734336;19.947173702924424;1.0352310910951172;-114.39231507804674;297.15755477495213
48;1.2980569287899646;19.907757789946093;1.0352310910951172;-75.818231260947258;297.15755477495213
49;1.6257551817251665;19.955251373599332;0.88285109313545218;-159.17647435133924;468.03282177041973
50;1.4060820842198916;19.941624644307453;0.88285109313545218;-103.29713017343494;468.03282177041973
51;1.5141378620608592;19.951834466484883;0.61740745684316634;-130.78381866173109;733.19669251189009
52;0.9319573470921988;15.117664226715025;0.61740745684316634;17.308349833421932;733.19669251189009
53;1.0796175975922668;19.245549136361543;0.52938974278234019;-20.252726387532878;833.80323279293202
54;0.70680999924812027;7.7571008499502749;0.52938974278234019;74.580206441259421;833.80323279293202
55;1.4098416196596286;19.942213358217092;0.57810768576018279;-104.25346200091805;771.85941602301079
56;1.0526487250258219;18.930792484165359;0.57810768576018279;-13.392519428443435;771.85941602301079
57;1.4338388249916656;19.94545136087358;0.52160717670277423;-110.35775110725496;836.18330892045731
58;0.71010048725837649;7.8445270031115664;0.52160717670277423;73.743188553650484;836.18330892045731
59;1.3756265899621438;19.935833147786891;0.47928357855640297;-95.55001382162034;876.27236484737318
60;0.74615659162671877;8.8403773013429578;0.47928357855640297;64.571417004953418;876.27236484737318
61;0.59006712764310498;5.0178443770073367;0.39342657348079596;104.27667440578519;976.78963868320977
