Year;Node;Cost;CertainEquivalence;Consumption;Utility
2015;0;0.011514293345453315;0.74975317152335941;0.98848570665454671;9.968368153175696
2030;1;0.028087119744672092;0.73468942170479656;1.2138658047715278;11.974853422030961
2030;2;0.0057320251933697429;0.73184412610282412;1.24246457844206;12.395828575604293
2060;3;0.073351602122841641;0.70456379076677611;1.7858118593755656;17.460209963966747
2060;4;0.014981695226809028;0.70184792005952856;1.9118933112096224;18.097048511008939
2060;5;0.016477963442909239;0.70199855435668745;1.9079032234197941;18.062038712451301
2060;6;0.0017472961397863088;0.69873343638363117;1.9443578292759063;18.822217628939672
2100;7;0.097873930275340026;0.66670666299681192;3.0161459287246992;28.727194759504663
2100;8;0.055198138268250492;0.66285578640180554;3.2504616232624115;30.286406071817925
2100;9;0.031246746540083387;0.66513045868849041;3.3260909252004884;29.41691078029875
2100;10;0.0050315418008782193;0.66107835979216412;3.4745460258327894;31.068969095684064
2100;11;0.033240562652733348;0.6652422273984242;3.3121268866902813;29.369962697970383
2100;12;0.0030683542297930601;0.66122528537093339;3.4771255920779165;31.009576244476598
2100;13;0.0026526539610274734;0.66139102119523585;3.475364610231404;30.941418883340578
2100;14;0.00091795701124526281;0.65813356475716334;3.5169065647778179;32.314063898336883
2200;15;0.009595612972893507;0.58332992196357003;13.402613802012937;96.473615074619829
2200;16;0.0095941674922337111;0.57775576399542605;14.492933729688286;105.15462964092656
2200;17;0.017658598339284282;0.58051090946861328;13.8814414715299;100.74641364666624
2200;18;0.017688552016377285;0.57642693562994174;14.671535885800635;107.32848039932649
2200;19;0.0366188998321142;0.58549569944922397;13.235325577216384;93.368732319031082
2200;20;0.021023755662711228;0.5802664104801295;14.341983313159151;101.21900447866159
2200;21;0.011052168729198703;0.58188339165491676;14.413088596592731;98.806427112279906
2200;22;0.00092142121782157053;0.57716079467749959;15.201557353864033;106.26000061568726
2200;23;0.041681802232340921;0.585733774189373;13.111030728047076;93.01120550710327
2200;24;0.041832628047891826;0.57979603523571777;13.997327096522421;101.86117797285536
2200;25;0.0049864019060355041;0.58229702056824262;14.460370683333178;98.205636042373513
2200;26;0.0017950195579151213;0.57726613110430824;15.163894775607551;106.08288835531397
2200;27;0.0038219558121166709;0.58256869766830877;14.430056776526028;97.800512963584353
2200;28;0.0016522098430675884;0.57739756948353749;15.138098534852444;105.86687502654262
2200;29;0.0016551919995088785;0.57749300029461892;15.127071062377494;105.71199213735972
2200;30;0.0002616067615329;0.57441602788929769;15.554151316302649;110.84995209419101
2300;31;0.0021159889663258202;0.52695098782726935;56.914801782349393;244.69025449771783
2300;32;0.0021158005399772857;0.51998051597323391;63.509342403120016;275.76291519699555
2300;33;0.0021169583663569543;0.51998091779934641;63.504582454101246;275.76045093502114
2300;34;0.0021158299282547964;0.51643700812689841;67.384151175305462;293.24724159614777
2300;35;0.0021154817367219718;0.52274906608100957;59.458570172024572;262.75479258075876
2300;36;0.0021169379198016616;0.51784928954847842;64.917893500708445;286.0215250338652
2300;37;0.0021101941113568019;0.51784780036004796;64.923083282795801;286.02937906275213
2300;38;0.0021089181015097177;0.51526869110697959;68.280400968743464;299.22340281226241
2300;39;0.0034323664131996772;0.52961978656500619;54.408856721497479;233.8171686087554
2300;40;0.0022782127715107801;0.52075591104038976;61.14266098477264;271.89444900555702
2300;41;0.0061847100256161918;0.52356664843516842;60.105128541219187;259.27300914002205
2300;42;0.0052595235563231424;0.51820814958046069;65.050069821273809;284.31239252161254
2300;43;0.016564862681526196;0.52649069805298043;57.86219321556375;246.68433219966025
2300;44;0.015457719085138646;0.52022607077058169;63.229519245633476;274.59231208637362
2300;45;0.00069445986884531657;0.52091196156048625;64.025112807056615;271.54781073054136
2300;46;0.0027339460302245591;0.51660640394865831;67.640053024830578;292.44040770664679
2300;47;0.0020898563534879114;0.52868987037728532;53.985237314421944;237.38114435082815
2300;48;0.0020885737304637561;0.52139928610706932;60.762439430324477;268.92808159548173
2300;49;0.0020703654402361906;0.52140541315185018;60.767269322953268;268.90109580265755
2300;50;0.0020673514999236791;0.51692881292075155;65.55629960952578;290.58526357567871
2300;51;0.02422955780318594;0.52743782461316613;57.103638572556271;242.74710972085489
2300;52;0.0011301561800434875;0.52088488362864616;63.940233346845858;271.66071490017305
2300;53;0.0055916443664297561;0.52097391070394661;63.581591459000208;271.21096771878877
2300;54;7.3607032533982495e-05;0.51665846880477129;67.760343494769117;292.19812023578436
2300;55;0.013034245120224221;0.5279018141067231;57.443318904215388;240.93049532820848
2300;56;0.0050051905866221004;0.52107263945133131;63.484636180196198;270.75024786738226
2300;57;0.0070129351848708648;0.52116695714261152;63.302031937283722;270.29973955953136
2300;58;0.0010837313114289223;0.51671718844806835;67.604394436629946;291.88851791950259
2300;59;0.016539113659713608;0.52132704316657619;62.589720816723705;269.48656966287695
2300;60;0.001055507152013692;0.51676351736338777;67.557128104900556;291.65399964842328
2300;61;0.003724885506508094;0.51682811153393537;67.340335306019426;291.30837529766598
2300;62;2.1028415761971677e-06;0.51463285840067385;69.633965466259454;302.64226605946175
