Node;Mitigation;Prices;Average Mitigation;Average Emission;GHG Level
0;0.62283793831889622;100.26021116086139;0.0;0.0;400.0
1;0.83256055216203628;160.99354118346568;0.62283793831889622;130.6027693136117;395.33492827303689
2;0.56909443025316797;64.284290817149852;0.62283793831889622;336.10634440252898;395.33492827303689
3;1.0595383462872905;183.0368436127354;0.76988482848477602;-36.318391235247198;391.62726057241434
4;0.94292283025066026;138.1474662237267;0.76988482848477602;34.817073547097237;391.62726057241434
5;0.81894506442334125;98.314082590774774;0.58515570852568444;110.44351070176184;427.8883735199534
6;0.57235995754051139;41.41787891770592;0.58515570852568444;260.86042590028802;427.8883735199534
7;1.1737721620822454;128.02267970496021;0.92544900938332397;-164.43190837032475;373.96626114991028
8;1.1697599168401152;126.96926758887626;0.92544900938332397;-160.63532130995895;373.96626114991028
9;1.2169926510743094;139.69505349645215;0.86281832783686863;-205.32929607906527;392.94213667611058
10;1.0169438553937473;90.570923418022446;0.86281832783686863;-16.033123166333404;392.94213667611058
11;1.0175347031261888;90.697952441782462;0.71071693052960516;-16.592212833156118;438.85602719028759
12;0.92960231448196795;72.925988722847961;0.71071693052960516;66.613809921437834;438.85602719028759
13;0.79929222124930044;50.653536399254499;0.57828349604198392;189.91973564284945;487.57445397720511
14;0.4609478065516443;13.420628986882763;0.57828349604198392;510.0781380505066;487.57445397720511
15;1.0000329267010852;19.188399242367861;1.0721575638156959;-0.016751459177112852;307.82086159826451
16;1.0000666392202249;19.189960171973667;1.0721575638156959;-0.033902703289404312;307.82086159826451
17;1.0045563348292654;19.398503115154679;1.0697871416738076;-2.3180353443887873;309.44803083773445
18;1.0044371019760048;19.392947773646842;1.0697871416738076;-2.2573756302924299;309.44803083773445
19;1.0019135070268961;19.275585978589863;1.0720634280802108;-0.97349669993337951;305.72509505732916
20;1.0019037300658957;19.275132104314423;1.0720634280802108;-0.96852267102445055;305.72509505732916
21;1.2018331185513091;29.89979545299143;0.95387521521624108;-102.68259906297854;385.03475732225297
22;1.2027337954178945;29.953893337991143;0.95387521521624108;-103.14081841885383;385.03475732225297
23;1.3134233280573926;37.043741414199324;0.89198392638794399;-159.45411814919851;423.95392909001168
24;1.3138548086083424;37.073113139371159;0.89198392638794399;-159.67363387949419;423.95392909001168
25;1.3934192603594773;42.724171194832834;0.84003374177740853;-200.15204870788406;457.04894028883018
26;1.431661498981073;45.60862668464943;0.84003374177740853;-219.60778760662092;457.04894028883018
27;1.5797584015749755;57.836704170362637;0.70885477076890768;-294.95208680126882;542.11228996969066
28;1.0430256947990586;21.23978389481082;0.70885477076890768;-21.889322229021065;542.11228996969066
29;0.91171878698023767;15.351421718282795;0.50896193177638915;44.91306712380409;685.13801180437304
30;0.47641177944893748;3.2060920839324836;0.50896193177638915;266.37550720535307;685.13801180437304
31;0.99990179617938124;4.2317925797949831;1.0453716095263936;0.0;315.37370929910588
32;0.999940817403975;4.232191087951362;1.0453716095263936;0.015054572863858891;315.37370929910588
33;1.0001384345284867;4.2342096100343216;1.0453841298250428;-0.035214283183809265;315.36157679673028
34;1.0000140398669823;4.2329389389789247;1.0453841298250428;-0.0035713911636328648;315.36157679673028
35;0.99914104919546942;4.2240277649402209;1.0455614473716555;0.21849561090246586;315.16434911702385
36;0.9991719798774682;4.2243433062896685;1.0455614473716555;0.21062761866902741;315.16434911702385
37;0.99921612257089276;4.2247936547319851;1.0455171661678255;0.19939882102915371;315.2076797925281
38;0.99909222160579225;4.2235296752235749;1.0455171661678255;0.23091612902659589;315.2076797925281
39;0.99963828260127408;4.2291019962734602;1.0460108522350615;0.092011863300907132;315.27890862198086
40;0.99944901139378817;4.2271700766353071;1.0460108522350615;0.14015772670513504;315.27890862198086
41;0.99973496157890007;4.2300890125733899;1.0460072212257292;0.067419148367294165;315.28242164695359
42;0.99959899242018257;4.2287009129801048;1.0460072212257292;0.10200630311605752;315.28242164695359
43;1.0001065794625239;4.2338841944901047;1.0459628752740682;-0.027111150779517978;306.05712779951716
44;0.99943894919796217;4.2270673847618774;1.0459628752740682;0.14271729776837364;306.05712779951716
45;0.99811223823719908;4.2135401470716172;1.0462973724770066;0.48019939841248438;305.68879264823977
46;0.99881199987170266;4.2206718014245723;1.0462973724770066;0.30219753263563581;305.68879264823977
47;1.0003407360661483;4.2362765639923063;1.0484998826608389;-0.08667473682646408;298.77126872521779
48;0.99969310811059375;4.2296617050339718;1.0484998826608389;0.078065624367714012;298.77126872521779
49;0.99986466443970701;4.2314133885960148;1.0486601277418102;0.034425983149530062;298.5904797888299
50;1.0000439350111441;4.2332442925847378;1.0486601277418102;-0.011175968459775506;298.5904797888299
51;1.0105106678300062;4.3409470541845803;1.0455524077714793;-2.6736511292578284;295.52815106834578
52;1.0118796679451303;4.3551513579501542;1.0455524077714793;-3.0218905335425177;295.52815106834578
53;0.91459731179742465;3.4125190859468351;1.0597549728951123;21.724308811530108;279.2394493611996
54;0.95392045457556218;3.7773752981493911;1.0597549728951123;11.72148436734137;279.2394493611996
55;1.0630333089547763;4.9055182408303848;1.0322946628558405;-16.034097965371231;293.46214275813225
56;1.0839769080989377;5.1419828573809623;1.0322946628558405;-21.361625997667268;293.46214275813225
57;1.6546811280453462;14.26871717409834;0.8329605888912468;-166.53451194653493;516.80290780633834
58;1.5967233996241219;13.092438190470219;0.8329605888912468;-151.79151477938603;516.80290780633834
59;2.0215481465017575;23.133588071028694;0.65853948453482192;-259.85630976638458;683.94228677539422
60;1.7501090441933613;16.33591252129732;0.65853948453482192;-190.80898811668632;683.94228677539422
