Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2015;0;0.10317389546837613;0.047704011133706065;0.89682610453162392;185000.87607257653;1.0;-0.40383607377187936;945.42735538120837;1056.3783085103555;2197.6831346763502;0.044483475343170424;0.45255172754666584;0.95551652465682957;26.134337302444333;1.0;-0.22363414776099821;0.31270955853493648;0.35345473020780616;0.73923009881587287;0.03945946622767136;0.99914592640392796;0.96054053377232862;6.0897258352485446;1.0;-0.20559398175803434;0.094195405408559446;0.10809843217249086;0.22587692009137056;0.042658039630505261;1.3721476468256135;0.9573419603694947;4.891758763245595;1.0;-0.21715285600842904;0.072922828319666705;0.083805541400582925;0.17458062720696965;0.086520918419784099;0.14658569436470478;0.91347908158021585;31026622.122014709;1.0;-0.35683583289012333;50186.050453511139;57130.013744808173;116600.60418007984;0.077979035898028973;0.65332002460947047;0.92202096410197099;38.859096235208554;1.0;-0.33169922082648684;0.34065513466463482;0.38174314399807863;0.79436194729480925;0.013543253129653512;0.79708119231733954;0.98645674687034646;5.1184180077691641;1.0;-0.097170733348250771;0.093336695565749972;0.11080815657244412;0.23015767986052141;0.0090953272811107478;0.82026370769270096;0.99090467271888927;3.5266917084702705;1.0;-0.073555193439245325;0.079261721920962411;0.096660501239823893;0.20085349542185804
2030;1;0.15610910952775003;0.046394140549451471;1.0541759305993335;206905.50818538977;0.86090489236942613;0.33705304440287964;881.94797161534507;1000.7764132709214;2065.174914494487;0.082294780650811888;0.43398915847714253;1.1458115817304453;31.245789901247086;0.81660407974203952;-0.52307032429388389;0.3071263585029842;0.35780380136603762;0.73651380091414631;0.064528676956299547;1.0029982112429021;1.1679440891372164;7.4100162302551214;0.78802804911987157;-0.26210197160916326;0.093432962998594521;0.10934144319534878;0.22603762808042466;0.072740482709470408;1.4336883528633684;1.1577228006692732;5.9633051282089822;0.79323872215805513;0.35185253107286041;0.072735825468718568;0.085175701897187775;0.17567495084621149;0.092311578944906006;0.1454879371191006;1.1337118722026793;33215077.587149672;0.83617579283064958;-2.0919305212154127;41342.188161844679;49830.237873074162;98938.150171620888;0.10780707354828142;0.64147045865444585;1.1142769831895405;45.839306778192508;0.82465788060989142;-0.20106578936702757;0.32665388003124163;0.37739179353572316;0.77329280040464698;0.030493879843730618;0.78022687426062709;1.2100560387822601;6.2072729384533769;0.77258334690827835;-1.2927287534630461;0.091351964840785019;0.11068916119902586;0.22725411443102814;0.021268881243028236;0.80294008535724681;1.2214366282590865;4.2777783704539649;0.74894809645987581;0.74400612916707409;0.075627787305920999;0.097617031145721136;0.19729434576063951
2030;2;0.099640052649676181;0.04617205200493326;1.1251889415958403;211016.72804963434;0.71031249441709721;0.18651561999993849;849.37855920958793;928.54681583931267;1950.9558088871249;0.041154013933069521;0.43178011106449821;1.1979633055184307;31.952579809896164;0.68402420201954339;-1.4038036099885742;0.30483727915571318;0.34162769963992762;0.71665382444680681;0.035392602280406027;1.0034757352314618;1.2051337230223393;7.5940093352186535;0.66604184656134369;-0.067158936397837543;0.092893638007570847;0.10836298463174712;0.22453165920653262;0.038183943370634028;1.4411425105947564;1.2016639824021222;6.10765068262174;0.67060892200596955;-0.029543063724557506;0.072168908821579891;0.084015426086018502;0.17385992308086237;0.068439531590145847;0.14513096378930382;1.1640951703801403;33958131.908430234;0.71339922990616667;-2.1701773183288475;43490.675964303664;47192.429218853162;98464.102615899697;0.076922007792911112;0.64006334384970232;1.1534513267854167;46.767269937741695;0.70831743805477776;0.18745860529516545;0.33004317498558167;0.36236913054942405;0.76092454536455745;0.011943878669159609;0.7774258986104271;1.2342100512557492;6.4078937722111826;0.63682378410185936;-0.14663985454304029;0.091622376124750465;0.11291043283531187;0.23031585084300821;0.004081839500688092;0.79947718562146564;1.2439533312706019;4.4422862950951281;0.60199056000065854;-0.0086350445061222914;0.080157600140848717;0.096683298151650721;0.20160867364364957
2060;3;0.16718695066574421;0.043873717590321874;1.6140640762147849;259244.57866015969;0.53549923027566815;-0.10303119054595467;669.32689375564394;795.364288536191;1607.3826817063782;0.15554357822325096;0.39861641777254719;1.6239636861194318;44.878894888871763;0.52958453629104363;2.8966838452548327;0.30730985595628751;0.36889084523127924;0.74873131991346698;0.10011399483320027;1.0109252340633244;1.7279711526172674;11.067018386177148;0.46153895000046835;0.99838759093140439;0.091716132867348657;0.11328221994445101;0.22813790270622444;0.093406824258342833;1.5685534626543967;1.7421812026942309;8.9545824120200628;0.46025411550463574;-0.0979006737054533;0.070405253241802759;0.087462017576475745;0.17538207576837914;0.098926673600523957;0.14328896313829104;1.7397904189353002;38131487.588194355;0.56590346289753457;-1.4874034352417853;28796.525217121449;37327.718800713345;71665.962536654028;0.11226669424210839;0.61838759203687799;1.7147894535147341;63.870916967577095;0.50772464485395563;-1.3480066605145336;0.28391097652556735;0.34705353965876445;0.6924632131581947;0.072034253404641604;0.74681223511284966;1.774618541356634;9.1997076706686904;0.44093287776898665;0.37513424858648392;0.090284352398681725;0.11474626145968604;0.22992891641484015;0.049389865240621361;0.76897605983356065;1.8147088127740838;6.3142282977660082;0.4017141702274537;3.2279541115697086;0.072487540349449875;0.10004594044427759;0.19586901542179078
2060;4;0.15682033203525114;0.043622806528154583;1.6409916533096798;265243.77015038079;0.46265841162434984;0.042669441509013417;710.07193927219453;765.7776885407136;1620.1553928412845;0.062860694000088105;0.39608084736281712;1.8162438447957363;46.221476534011714;0.39655525296008792;-1.1271821265296911;0.28593898711966864;0.32483807223288819;0.67629033982317655;0.067881075787537049;1.0115146637405781;1.8050240985489558;11.406597168372343;0.37839652544687807;0.42190196316114204;0.094006372546897421;0.10803305429176813;0.22515963670187791;0.06870716362809591;1.5786611462023397;1.8041865574780369;9.2203074362050561;0.38287564742381758;0.26611849865985082;0.073071685298430902;0.083898213764559956;0.17460129826984816;0.078800466146760964;0.14278013130570114;1.7892287496606893;39371570.513949767;0.45561575326465509;-0.74470434910209882;31069.486085787976;35275.386055355273;71983.875452272812;0.081691279550603943;0.61658869921298787;1.7840366537662846;65.58399524213479;0.42099877131523283;-0.20885932527170414;0.29272735477986689;0.32861377322438751;0.68244132394389245;0.037229736848489028;0.74359326645559087;1.8599732075417412;9.5678371366412431;0.34604581062613299;0.6702802559315435;0.089721597525479924;0.11309660781814299;0.22795972180234508;0.0038300720231869956;0.76424143446710269;1.9223974954607317;6.6759161444843746;0.29250025273554708;-0.55180520268003352;0.074533315250168999;0.097284581998906938;0.19544570362803682
2060;5;0.12404892709542449;0.043659622834003826;1.7029349459075449;264456.83275250101;0.44051966873135989;-0.35873175186778017;666.28384294995033;738.58680644658193;1541.0937661893947;0.08035704420248356;0.39678280371199443;1.7797222565569146;45.858296418661297;0.41118501501472476;0.60808341323952408;0.28923255962798416;0.33127160328335981;0.68674411237601729;0.06670991650346321;1.0113548342702381;1.8053903871318155;11.318370792129466;0.38488257109722568;-0.74431188883512522;0.092670473575829027;0.10788158249451273;0.22340767051646632;0.073341315491721223;1.5756599793719488;1.7929681117540646;9.1420624371828474;0.39070250124638328;0.32442239520491523;0.072489770058598413;0.084257913454677799;0.17429086150029796;0.078748816864416246;0.14280531032140303;1.7875668632050854;39309222.210642956;0.45950527116768947;-0.46624568367228392;30912.406410968182;35409.533908223297;71931.459723939901;0.08817316527572501;0.61685230551092585;1.7693535566421421;65.326826751657009;0.4273908202575421;-0.32034886522427364;0.29297891417243271;0.3315978721389074;0.6857366547973377;0.037917945685254043;0.74413369524385986;1.8560499067962635;9.5073451219688483;0.35627906024016881;1.1878070500783044;0.087636041930868852;0.11424920592968243;0.2268905867094837;0.0026677058053064802;0.76463571671016173;1.9209131075377197;6.6464452366150431;0.30026318278613928;-0.88567484694250798;0.073399294871995868;0.09779539181906996;0.19465427176278877
2060;6;0.10228458901709089;0.043485073823788363;1.7499860688973463;268758.49415272102;0.38968391546113107;0.95978961794267459;671.81896097974686;713.02903592213761;1519.8217488327562;0.040522435377491131;0.39479472776096869;1.8655663175280224;46.882904377924667;0.34650959686260219;-1.8839442248956173;0.27888680122870019;0.3220367851415315;0.66586353107073848;0.021244919746383348;1.0119344497282292;1.902588035462037;11.663622913371366;0.31365481461826411;-0.84687244231076431;0.088469425652658015;0.10753988762962954;0.21855697236529911;0.027427285508601015;1.5853256644857288;1.89082301708637;9.4065782609078266;0.32220554163890336;0.28859793319704341;0.069544173510715873;0.084123829992788099;0.17098122691330367;0.15258844187573833;0.14257905938202073;1.6501626991072524;39861842.048513293;0.46312267905688642;-0.51434605085454166;35655.832657617895;37847.922057180367;79845.50583150718;0.058697901728315981;0.61570226474563639;1.8330381327152936;66.45614330541305;0.37451290053368785;-2.0840100964769848;0.29181974960426954;0.3198131034932033;0.67199308362077814;0.0092608479802622802;0.74051045805157834;1.92261227453068;9.9304721432165035;0.27830986880677333;0.8727182414037582;0.089990323372736603;0.11348660265287218;0.2289950044759537;0.00048223176754205461;0.76097596976234272;1.9376268801632774;6.9262365640772456;0.24685137862582146;-0.66009631116721312;0.080048439596018775;0.097131240389758552;0.20182786024770746
2100;7;0.046409068712278796;0.040942832393690926;3.320889416089206;343278.76047995448;0.2348643451400102;0.041240833153022294;372.33457180951876;472.59384999241456;926.56052694290406;0.059050836099484728;0.3561046619368074;3.1948590211769456;72.961755586851467;0.22634946199719866;-0.74756033004836908;0.23590980353591207;0.29783050143090883;0.59166556160737416;0.073807879585891675;1.021632749544457;3.0930711823927903;18.970962505466535;0.21297498464515494;-0.093848164410426094;0.085612434303827589;0.11047180182901133;0.21866097260189218;0.073340153777702352;1.7678304513161947;3.1011852389153991;15.396175819552107;0.21752345781498822;-0.25172466456324649;0.06667716009591286;0.086769329753390592;0.1707068274049118;0.065828649657389784;0.14055408215155085;3.1759056806752426;45415215.116029494;0.32560007531771473;3.3232361462841364;17198.740921221932;23903.909573072975;44591.698153811667;0.061303056348973588;0.59020792456709525;3.2078800412708253;97.555960038368596;0.25164658397133283;1.3861196384695518;0.2191559940078105;0.28427493535759651;0.55278464843324271;0.09393244998571619;0.70374028371285735;2.9674143140863984;15.688057453100161;0.20581868482076529;1.0556866254496367;0.089214388184907789;0.11973751805518761;0.23499707110806428;0.10888655015416283;0.72549269006403649;2.9033095060182377;10.629565639481857;0.18445647328848844;0.81835773257643574;0.077515259637008366;0.10470775130070895;0.20726746190483805
2100;8;0.046413327477970286;0.040620128517261059;3.3551727418708901;354249.98401190061;0.19543886977572353;0.0089287738701759878;410.49196953266511;456.46236255574888;951.42999407189961;0.059032916373634871;0.35312049631490044;3.2631686856706348;75.597959650810921;0.18430269309644193;-0.67117136197012428;0.25459504156298451;0.28820633361663117;0.60223211701457424;0.073638407947450663;1.022457706997687;3.1796800760879083;19.758659905758542;0.16838922213702981;0.037929879876497097;0.092117254075383834;0.10629277691520733;0.22148005269556312;0.072936808745284715;1.7838846159561146;3.1862814248567735;16.030891591704048;0.17189438536255028;0.2123682587140685;0.071706003717696115;0.083184181820547334;0.17248803878521235;0.065877025731242628;0.1398622705206865;3.2419654258310473;47473918.068349764;0.24620894588976178;2.5594359871976557;19302.444759060414;22856.667368894865;45783.902573405037;0.061278651648978839;0.58775860614096198;3.2681092762512103;101.24169246071963;0.20217205597606053;1.1278839108527894;0.23896325315608807;0.27440172060952317;0.56425448178639515;0.073550300147575076;0.69997727572303403;3.1410371082565938;16.469920888444321;0.15275941531308457;2.9687639907324037;0.092570152249277324;0.11445268238511586;0.23285896502427231;0.037409798220599297;0.71989059214155693;3.2523090704200168;11.425824450768109;0.11840628939649639;4.3102698274728457;0.075439284813034246;0.098656727065338221;0.19797614198773633
2100;9;0.047814188205758758;0.040618671551171499;3.3475635357117635;354293.10446132376;0.19607245237765475;-0.015358852488756014;407.91613131834197;461.63917370401509;954.2792587671795;0.081713202080090752;0.35482335759225209;3.1512735998410175;74.035586125116311;0.19304790930102522;1.7237630727195974;0.25444522870609726;0.29803171698205716;0.61273804818234756;0.08022965777178033;1.0222523589266279;3.1470194824011353;19.557233760959932;0.17346971321707635;0.096761736854800162;0.091231561403011738;0.10725874367710671;0.22149701996279281;0.080090846639205793;1.7808362597815823;3.1534639189575393;15.905982880400105;0.17712723591002094;0.31084868742579097;0.071421955466398457;0.083796141551456385;0.17282834862079491;0.071218267160036999;0.13989408143064758;3.2151948762143401;47375923.975981764;0.25140846450753779;2.5297244515824158;19357.216400641995;23097.226805882201;46101.697249626821;0.06870867361631644;0.58813519332966102;3.2308406317970464;100.64929062218006;0.20810791095448064;0.53730436919785518;0.23908657466227848;0.27753348149890117;0.56777678889607675;0.093245412880040554;0.70119763956437697;3.066831522280689;16.207803358278593;0.16360192571930246;5.2305272281699455;0.093101043028434194;0.11577683894537863;0.23490285226474505;0.014917417279451771;0.7213742170863976;3.3098154638329311;11.238833914284807;0.12096923182504422;1.1728948195143474;0.069722681191842745;0.098077734422764989;0.19063057737424555
