Nodes;0.1_1.0;0.2_1.0_;0.3_1.0_;0.3_1.05;0.3_1.1_;0.35_1.05;0.35_1.1;0.4_1.0_;**0.3_1.0
14;473.8950145314352;472.44203062724478;471.8684591568819;471.58173915991944;472.36675818956502;471.22704698038763;470.97642962246221;470.49503487120739;461.01405564941263
15;278.43768454431773;282.45283297291655;284.55236952116405;284.72677649165479;284.63756947604662;285.00836928303556;285.06937994142487;285.52007724477681;322.56242842408938
16;278.43768454431773;282.45283297291655;284.55236952116405;284.72677649165479;284.63756947604662;285.00836928303556;285.06937994142487;285.52007724477681;322.56242842408938
17;295.86562521275886;296.17693096847484;299.31259609515917;299.41494433227058;299.28233699677929;299.50947236984808;299.54216015598888;299.87759273102182;335.64522199369429
18;295.86562521275886;296.17693096847484;299.31259609515917;299.41494433227058;299.28233699677929;299.50947236984808;299.54216015598888;299.87759273102182;335.64522199369429
19;296.3316323948995;296.89630640042134;298.24546769454247;298.25099335831601;297.39364799854616;297.50615213991915;297.2739503990025;298.5066438156199;334.05989631881789
20;296.3316323948995;296.89630640042134;298.24546769454247;298.25099335831601;297.39364799854616;297.50615213991915;297.2739503990025;298.5066438156199;334.05989631881789
21;407.48499755608157;404.11581875357979;355.19778640982008;354.85923096153829;403.76219223510975;403.08512734859863;415.78743319531748;354.08960075066858;358.47392404224996
22;407.48499755608157;404.11581875357979;355.19778640982008;354.85923096153829;403.76219223510975;403.08512734859863;415.78743319531748;354.08960075066858;358.47392404224996
23;293.2133235537368;293.96578099606739;294.55341721652786;294.60648651417762;294.60011122714104;294.75479603375186;294.81242533575215;294.91715521102594;330.03464248938934
24;293.2133235537368;293.96578099606739;294.55341721652786;294.60648651417762;294.60011122714104;294.75479603375186;294.81242533575215;294.91715521102594;330.03464248938934
25;417.21957678992914;416.02515371423357;414.01786201262468;413.73625238468662;413.70527683890009;412.88499293402492;412.94035984357214;412.54986798266725;394.15347006418153
