Year;Node;SDF;DeltaConsumption;Cost;CertainEquivalence;Consumption;Utility
2015;0;1.0;-0.33510684935829094;0.079122253579463189;0.75256648347099697;0.92087208838687551;9.6264864752222756
2030;1;1.1980949437726622;0.0029352981666841416;0.10488004514506019;0.73651264052205279;1.1178953691512492;11.688189349780087
2030;2;0.28265080151386529;0.0014773679134494344;0.064984855655251667;0.73406226108399886;1.1683289043320633;12.049528549407837
2060;3;1.0915160267025248;0.043313355818197508;0.12426535294232344;0.70492021939800897;1.6911796199943072;17.353209086644043
2060;4;0.19645777095014927;0.024320854689685589;0.078438253029309055;0.70189615143957385;1.789990048965509;18.048262539318195
2060;5;0.22109530541429778;0.020871626970753177;0.08508704903068956;0.70256206657827336;1.7744782387373317;17.894786693797375
2060;6;0.080376311196684008;0.01221029431168752;0.046160467250398289;0.70084125020741739;1.856917369812628;18.307786345358178
2100;7;0.76677452083648412;0.1374578857561648;0.058551003561237241;0.66537190364448862;3.216020487052798;29.292850594809664
2100;8;0.10415933174255776;0.074397341033671793;0.050706968980387707;0.66175772958306778;3.301771595567796;30.742430965840214
2100;9;0.12974439339645202;0.11645142763891947;0.059579445730923913;0.66267531077422026;3.2596353782924758;30.361075812137443
2100;10;0.034643703590611627;0.067105339685280541;0.052388452531654729;0.66029442785916304;3.3218316738458142;31.347260518326195
2100;11;0.15004300575492202;0.10267245914272749;0.063709368396575344;0.66329319091984718;3.2235977394015296;30.104874116519003
2100;12;0.03542272572990772;0.060642741378247322;0.056864487478758982;0.66070849400564802;3.293405030825538;31.167971835665949
2100;13;0.050465614668242807;0.053375565136937198;0.041403284103323348;0.66204528129738238;3.3377129267839871;30.636769904715919
2100;14;0.01721507337723361;0.032918071891696599;0.0071548464362224829;0.66024156751923146;3.4892380606813438;31.418037628602534
2200;15;0.16422713977018133;-0.42602014997115134;0.010021955577303267;0.58238176653088958;13.719414531602393;97.922749892193238
2200;16;0.019873737008152096;-0.97422165937093297;0.0089610765242597503;0.57853760018573286;14.403333016263442;103.90169149522377
2200;17;0.019172231097935418;0.45252693966251201;0.010328936642036707;0.57897712288475989;14.676445836219287;103.27538443027277
2200;18;0.0047113668916435505;0.11389764695124427;0.0095920982924114981;0.57636309981470202;15.122769633278736;107.53258321097628
2200;19;0.024627708235299656;0.53371199764917776;0.010566884712861923;0.57960842041831928;14.489660373926052;102.25797997056266
2200;20;0.0051136503054588344;0.18413781016679565;0.00984962704236572;0.57672836759648216;15.008500708032033;106.91499032004596
2200;21;0.0057966616158567222;0.52198681876962638;0.011217547770214749;0.57709082625317698;14.988604866197795;106.32630923956658
2200;22;0.0020206791721213272;0.2353620819024016;0.010860903983627383;0.57510535899855841;15.313084383920025;109.64357396134173
2200;23;0.028875889446591814;0.56867194169498703;0.010616023947649829;0.57998305958369423;14.360768590057051;101.65527784985892
2200;24;0.0054318267634499706;0.2089200106707878;0.0099339889080341127;0.57695242218128118;14.923291248961345;106.53468515017127
2200;25;0.0060138692211846373;0.56941402760397608;0.011183372113247327;0.57729611292445904;14.907781890943479;105.97931111344657
2200;26;0.0019466610395591896;0.26601117955493692;0.010209632846438162;0.57520098968548183;15.277106384388347;109.47673660706107
2200;27;0.0099896063088424948;0.42658043835714921;0.017899448414144942;0.57972730970236852;14.364596455244156;102.04797480898928
2200;28;0.0019976447480957917;0.27253333661327872;0.016591420682859504;0.57682492835653765;14.921376790333065;106.73983570727894
2200;29;0.0036741711797678052;0.14819719484542304;0.018108041531787654;0.5796646934321068;14.678310995139535;102.21203739330694
2200;30;0.00052277463783363925;0.071557915691400353;0.0045556004550381364;0.57581394309978651;15.347478077257405;108.47969490547285
2300;31;0.035887262758669582;3.548821365155419;0.0017651890381460032;0.52352875996915482;59.363121873751197;259.34312713799903
2300;32;0.0029664560616894523;-1.5098005733342745;0.001660052616319328;0.51947417752858305;62.705363442916585;278.01698788664288
2300;33;0.0037478718945855088;3.1189673156937658;0.0018330417255183419;0.51985632461139475;63.850565730420158;276.38222250717359
2300;34;0.0008186157300837225;0.54830871327737896;0.0017402672303545499;0.51748854808551614;66.266114908062917;287.94092360381518
2300;35;0.003923904904987569;2.2878382215999693;0.0018819028799104032;0.52073638832540936;62.762652905303355;272.19110643928968
2300;36;0.00066136403902809511;0.20749493358209747;0.0017835369901337817;0.51799526144631636;65.633106503227268;285.4092220875458
2300;37;0.00084943837097711111;1.7938333686004171;0.0019163131468920235;0.51808960716215757;65.925386768851965;284.99229321899691
2300;38;0.0002537550307259007;0.26137404542652121;0.001794447428516466;0.51619376332112776;67.841973659746188;294.51498733087817
2300;39;0.0051304888620427782;2.2795226766817223;0.0018805266351793802;0.52122468742751871;62.044103391575582;269.88049933748096
2300;40;0.00075174362560308618;0.14103895398847044;0.0017819084248740123;0.51828684496207145;65.16547728019107;283.95009070073309
2300;41;0.00094157711742978267;1.8409575784431809;0.0019097823240508368;0.51838638754055855;65.47774759853327;283.51350682089833
2300;42;0.0002545021149169981;0.2558608192344991;0.0017906163631268709;0.51635020306791501;67.58843264855858;293.70418696656333
2300;43;0.0011050309686110528;1.9112805533367805;0.0019554451614499663;0.5187827059896285;64.909358151025899;281.55507295765159
2300;44;0.00026171882274130448;0.30942573582990462;0.0017742621724595032;0.51656014875451572;67.274218564584089;292.62306190144903
2300;45;0.0003275012796221309;0.82168618358906542;0.0019253166850179068;0.51658350932267461;67.359577147808977;292.5182660315034
2300;46;0.00014135637299434128;-0.37546673099058125;0.0017369042029870487;0.51526198576033733;68.705171476259835;299.31154707624762
