Node;Mitigation;Prices;Average Mitigation;Average Emission;GHG Level
0;0.65982366810259518;115.23412194234872;0.0;0.0;400.0
1;0.84035693845854831;164.65547727417774;0.65982366810259518;8.3014392001554871;392.86562531354997
2;0.64712514299510326;87.651582495358738;0.65982366810259518;18.349492564254628;392.86562531354997
3;1.0488615883071257;178.61788461985645;0.78640446685791865;-2.9805568867346692;389.12580795051662
4;0.95763127120739877;143.40474316525342;0.78640446685791865;2.5844924563486744;389.12580795051662
5;0.94715416044901934;139.64810638494589;0.65092010452148019;3.2235962126098192;415.51049907805083
6;0.53502294990939581;35.196104654924063;0.65092010452148019;28.363600055526852;415.51049907805083
7;1.1973079922928147;134.30493880836673;0.92736228235068185;-14.936215016566075;373.81803395794475
8;1.1778753027990758;129.10523131964706;0.92736228235068185;-13.46516042189004;373.81803395794475
9;1.2067247900858027;136.867981187033;0.87836522662560679;-15.649066609495263;388.44511725860787
10;1.1156437952591727;113.25577441090687;0.87836522662560679;-8.7542353011193725;388.44511725860787
11;1.2547589493226639;150.38592784335157;0.8100184942604991;-19.285252463725655;406.96913098154272
12;1.0012016888490007;87.224752956884601;0.8100184942604991;-0.090967845869355815;406.96913098154272
13;0.76738630008372644;45.91135110180241;0.58867523326121218;17.60885708366191;486.70737894914924
14;0.47148669969439094;14.173038428146391;0.58867523326121218;40.008456833134609;486.70737894914924
15;1.0256852754979178;20.397705385724429;1.0868453770617401;-2.0907814255305071;297.69255203996488
16;1.0124418953389605;19.767980864069433;1.0868453770617401;-1.012770280591381;297.69255203996488
17;1.0339943891040499;20.798720288859545;1.0753646039104094;-2.7671432730696663;305.60860129976265
18;1.0201934394786289;20.135164273553983;1.0753646039104094;-1.6437459735603968;305.60860129976265
19;1.0417228893006125;21.175823867750239;1.0723590462341128;-3.3962431890698594;306.00380591796011
20;1.028388390847772;20.527661662346709;1.0723590462341128;-2.3108150150086413;306.00380591796011
21;1.12259776111521;25.362681465914761;1.0185486747804353;-9.9794577547780978;342.808638242303
22;1.088717437666288;23.554862192565597;1.0185486747804353;-7.2215994260358469;342.808638242303
23;1.0477723303827235;21.473771718515305;1.0727697864804167;-3.8886676931536974;304.20502316712299
24;1.0349226349195924;20.843803428176916;1.0727697864804167;-2.8427024824548179;304.20502316712299
25;1.2737028709476321;34.398034927889363;0.92296893728201201;-22.279413695137258;404.87903246829757
26;1.2601013121685147;33.518349502211983;0.92296893728201201;-21.172246810517102;404.87903246829757
27;1.3583610525861249;40.176302824218368;0.694257181579928;-29.170589680510574;552.19511980446362
28;0.99394567855622007;18.907770185364658;0.694257181579928;0.49282176552368645;552.19511980446362
29;0.8512049656003654;13.0069850538521;0.51944060826237892;12.111915800130257;677.5626077213708
30;0.5206630171082206;3.9724243199673945;0.51944060826237892;39.018030407390846;677.5626077213708
31;0.9754613240954747;3.9864943504227712;1.0641314785888178;0.0;297.21013748957472
32;0.96455900168890429;3.8798298613328948;1.0641314785888178;2.8848972625231908;297.21013748957472
33;0.97839107308127105;4.0154470978658159;1.0592130957758827;1.7589666511845372;302.16407021730322
34;0.9689481327362599;3.9225678992364754;1.0592130957758827;2.5276219952684444;302.16407021730322
35;0.97732230266419762;4.0048709400710383;1.060000357696167;1.8459645631343142;300.80463211006781
36;0.96771952073387857;3.9105769696078072;1.060000357696167;2.627631012262285;300.80463211006781
37;0.98259605606958078;4.0572167134419681;1.0548749023648902;1.4166810359361246;306.01688430262288
38;0.97491383418404653;3.9810974760542881;1.0548749023648902;2.0420138974186122;306.01688430262288
39;0.97659666800889167;3.9976996348867009;1.0609812600566013;1.9050312240762188;300.00864285573999
40;0.9668763415648195;3.9023601995213872;1.0609812600566013;2.6962657966236931;300.00864285573999
41;0.98125046867255161;4.0438229655572417;1.0560290373443959;1.5262118500542992;305.08374071130504
42;0.97302797858462275;3.9625404420523411;1.0560290373443959;2.195522543211708;305.08374071130504
43;0.9827830651656656;4.0590802230485767;1.0571908667124119;1.4014584955148199;299.91625034780162
44;0.97218638271627777;3.9542754229317119;1.0571908667124119;2.2640284468949896;299.91625034780162
45;1.0330918588878024;4.5787249001032411;1.0446082481854377;-2.6936773134671173;313.34653957430402
46;0.99371005519397293;4.1688369469334248;1.0446082481854377;0.51200150721060356;313.34653957430402
47;0.97583536001332427;3.9901838661929721;1.0634861249859728;1.9670016949154048;299.00451820302982
48;0.96600986120175147;3.8939269015736251;1.0634861249859728;2.7667972981774307;299.00451820302982
49;0.97974497721627818;4.0288682910958551;1.058713950468686;1.6487588545949565;303.92094038760172
50;0.97085513652344912;3.9412223487098763;1.058713950468686;2.3723918869912417;303.92094038760172
51;1.0073903164271132;4.3086727917317553;1.0532259963219859;-0.6015717571670135;295.92752843570275
52;0.99542184901172126;4.1861866623948396;1.0532259963219859;0.37266149044588948;295.92752843570275
53;1.0123290670922953;4.3598201035092963;1.0481745916106977;-1.0035860613128382;301.57413458587007
54;1.0004027534255948;4.2369103256565515;1.0481745916106977;-0.032784128843417956;301.57413458587007
55;1.2738118165519006;7.5900793325615759;0.94089489989320685;-22.288281867324709;396.51636628422546
56;1.2669754301513936;7.4921582186431683;0.94089489989320685;-21.73180001432344;396.51636628422546
57;1.5381239671515727;11.962925351105159;0.80555676937931753;-43.803290926138033;543.1164749068239
58;1.5158876238411942;11.549861575028812;0.80555676937931753;-41.993252580673214;543.1164749068239
59;1.8564826560837171;18.835555083017432;0.64265266541774024;-69.717688205214586;701.3781748755539
60;0.98251468129040409;4.0564059859069754;0.64265266541774024;1.4233049429611071;701.3781748755539
61;1.1528497731901186;5.9660221353788252;0.51989459165525931;-12.441971537675656;839.72656727020706
62;0.15139067213790378;0.044484269214621598;0.51989459165525931;69.076799287974637;839.72656727020706
"
"
Period;Expected Price;Expected Mitigation;Expected Emission
0;115.23412194234872;0.0;0.0
