Nodes;250_0.05;280_0.05;280_0.1;250_0.1
69;360.0739918152704;387.53908365894495;341.85741289054255;312.79519843197488
70;373.17249657640133;398.80084937638134;348.75380258212385;315.69821313119417
71;348.67947486005897;377.85153217882618;335.73132088514774;309.75451645213116
72;359.61464784417467;387.16253124391648;341.1244961483992;313.41898901463628
73;359.2636944099126;386.78753587569588;341.30724302832499;312.60500725561684
74;372.24954860201132;397.93431806605031;348.12269252646934;315.70204072024296
75;356.99770878969173;384.69625294806292;340.19906047290715;308.76123883731231
76;369.49013651860258;395.2555698220641;346.45911685032604;311.90445629062589
77;368.67508307859742;394.60142203943667;347.33615281552306;297.80671630429538
78;387.37293171309858;410.71517314419583;357.15011765138314;320.41296775000967
79;347.27893706907349;375.39780259220794;333.76722171072521;304.61665998190369
80;358.27295857615314;384.4876292947319;339.20106233304313;307.68783664763617
81;357.89158133945512;384.11301749944874;339.24535389679011;295.57032847091818
82;370.7345843584975;394.83526121703454;345.63695969170573;303.72051734394262
83;353.77373687400808;380.81461016070853;333.47189797904718;299.07827686664638
84;365.90184006903689;390.7464847326296;340.33900015464576;300.61570410751801
85;365.20548956928195;390.36188723493711;347.06641978893526;315.21858263578594
86;383.21295837656686;405.09191237039863;343.25833595255671;320.0352260582896
87;367.30080944717247;405.51860644633354;349.11528295124754;303.54738290416543
88;377.69399244818322;416.00789958923821;356.33100323753229;310.89392292968108
89;385.12519518394083;422.89340458551317;362.19978094723967;330.42786872467525
90;406.60521615105057;446.09213815321772;560.65446425745984;695.68316909423822
91;422.78699426384179;455.1854897904397;363.92285981411766;326.48663657306656
92;719.06311745664686;730.71227429510714;760.28509568877416;736.40246503881508
93;751.76865913739994;761.53965441483888;772.61058992999688;770.70628481324979
94;1173.4476938953294;1173.1471062357487;1196.0380908433845;1190.4554304354565
